NO;SOAL;A;B;C;D;E;KUNCI;PEMBAHASAN;
73;Seorang wanita berusia 19 tahun datang ke tempat bidan  dengan keluhan payudara sebelah kanan teraba benjolan , mudah digerakkan , tidak berubah-ubah besarnya dan tidak nyeri. Apakah diagnosis yang paling tepat pada kasus tersebut?; Engorgement;Mastitis;Piget Disease;FAM;Ca Mamae;4;"Data Fokus : Êpayudara wanita sebelah kanan teraba benjolan, mudah digerakkan, tidak berubah-ubah dan tidak  nyeri
Fibroadenoma, atau fibroadenoma mammae (FAM), adalah salah satu jenis tumor jinak yang paling umum terjadi pada payudara. Fibroadenoma berbentuk bulat dengan batas tegas dan memiliki konsistensi kenyal dengan permukaan yang halus, serta ukurannya dapat membesar pada masa kehamilan. Tumor jinak ini biasanya tidak terasa sakit dan mudah bergeser saat disentuh. Penderita fibroadenoma kebanyakan adalah wanita berusia antara 15-35 tahun.";
74;"Seorang remaja perempuan, umur 19 tahun datang ke BPM dengan keluhan pada leher timbul gelembung bintik bintik berisi cairan yang terasa sakit dan panas. Keluhan lain badan terasa meriang. Klien mengatakan teman sekelasnya juga mengalami gejala yang sama. Hasil pemeriksaan KU lemah,TD 110/70 mmhg, N108x/ menit P 23 x/menit S 38,5¡C. inspeksi; tampak kemerahan, terdapat vesikel dan lesi yang menyebar didaerah leher bagian kiri. Apakah diagnosis yang tepat pada kasus tersebut?";Herpes symplex type I;Herpes symplex type II;Varicela;Rubella;Candidiasis;1;"Data Fokus : Herpes simplex virus tipe 1 (HSV 1) merupakan virus yang dapat menyebar dengan cepat, dan umumnya menyebabkan herpes oral (mulut). Akan tetapi HSV 1 juga dapat menyebabkan terjadinya herpes kelamin (genital) jika menyebar dari mulut ke alat kelamin pada saat melakukan hubungan seksual melalui oral. HSV 1 dapat menular melalui kontak langsung sederhana dari penderita herpes ke orang yang sehat. Contohnya adalah lewat berciuman, berbagai pakai peralatan makan atau lipstik dan kosmetik. HSV 1 bahkan dapat ditularkan dari seseorang yang mengalami infeksi HSV 1 namun tanpa gejala.
Gejala yang dapat ditimbulkan oleh infeksi HSV 1 atau herpes oral adalah:
¥ Diawali dengan demam, nyeri otot, dan lemas.
¥ Muncul rasa nyeri, gatal, rasa terbakar atau ditusuk pada tempat infeksi.
¥ Kemudian timbul blister, yaitu lesi kulit seperti melepuh yang pecah dan mengering dalam beberapa hari.
¥ Blister yang pecah tersebut mengakibatkan luka dengan rasa nyeri. Bila terjadi di mulut, bisa mengganggu makan.";
75;Anak A umur 10 tahun terjadi perubhan payudara membesar, badan anak lebih cepat membesar, menyatakan sudah haid pertama dan darah yang keluar banyak, satu sebelum haid merasa nyeri kepala, perut kembung mual. Disebut apakah tanda seks primer yang dialami oleh anak A ?;Puberche;Menarche;Amorhoe;Metroragi;Telarche;2;"Data Fokus : payudara membesar, sudah haid pertama dan darah keluar banyak
Menarche (menars) adalah haid pertama dari uterus yang merupakan awal dari fungsi menstruasi dan tanda telah terjadinya pubertas pada remaja putri. Pada dekade terakhir menunjukkan kecenderungan pergeseran usia menars ke arah umur yang lebih muda.            Thelarche adalah permulaan dari perkembangan payudara sekunder, yang seringkali merupakan awal dari perkembangan pubertas
Pubertas adalah masa transisi dari masa anak ke masa dewasa, yang ditandai dengan munculnya tandaĞtanda seksual sekunder dan kemampuan bereproduksi dengan ditandai dengan perubahan hormonal, perubahan fisik, maupun perubahan psikologis dan sosial 
Amenorrhea adalah suatu kondisi ketika wanita tidak mengalami menstruasi atau datang bulan. 
Menorrhagia adalah istilah medis untuk menggambarkan jumlah darah yang keluar saat haid berlebihan atau haid berlangsung dalam waktu lebih dari 7 hari. Kondisi ini dapat mengganggu aktivitas sehari-hari hingga memengaruhi kualitas hidup penderitanya.";
76;Perempuan usia 26 tahun P1A0 telah melahirkan bayi laki - laki secara spontan 1 jam yang lalu. Bidan telah melakukan penyuntikan oksitosin 1 dan 2 serta melakukan masase uterus. Berdasarkan hasil pemeriksaan didapatkan ibu mengalami perdarahan, plasenta lahir lengkap dan kandung kemih kosong. Diagnosis yang tepat pada kasus tersebut adalah;Atonia plasenta;Robekan serviks;Inversio plasenta;Solusio plasenta;Sisa plasenta;2;Pada persalinan normal memang selalu menimbulkan luka pada jalan lahir berupa robekan. Hal ini yang menyebabkan perdarahan pasca persalinan. Robekan pada serviks biasanya disebabkan oleh kontraksi uterus yang lemah ;
77;Cakupan pelayanan keluarga berencana adalah;Melakukan komunikasi interpersonal/ konseling dalam pemakaian kontrasepsi;Melakukan pencabutan alat kontrasepsi dalam rahim dan bawah kulit tanpa penyulit;Memberikan informasi tentang efek samping pelayanan kontrasepsi;Pemberian obat kontrasepsi melalui oral, suntikan alat kontrasepsi dalam rahim, alat kontrasepsi bawah kulit, kondom dan tissue talet vaginal;Semua Benar;5;;
78;Seorang ibu membawa  bayinya yang berusia 10 hari ke Puskemas untuk mendapatkan pelayanan  imunisasi bayinya. Bidan akan melakukan  pemberian  imunisasi BCG pada bayi tersebut, Bidan telah menyapkan alat dan vaksin. Bagaimanakah teknik injeksi untuk pemberian imunisasi  tersebut;Sub Cutan ;Intravena;Intracutan;Intra muskular;Bolus ;3;;
79;Selain kewajiban bidan juga mempunyai hak untuk perlindungan hukum. Yang termasuk hak bidan adalah;Bidan berhak atas privasi dan menuntut apabila nama baiknya dicemarkan baik oleh pasien, keluarga maupun profesi lain;Bidan berhak mamatuhi peraturan rumah sakit;Bidan berhak mendapatkan informasi akurat tentang riwayat pasien;Bidan berhak merahasiakan sesuatu yang diketahuinya tentang pasien;Bidan berhak merujuk pasien dengan penyulit;1;Jika terjadi masalah hukum terutama menyangkut pencemaran nama baik maka bidan berhak atas privasinya dan dapat menuntut balik dengan menunjukkan bukti - bukti kepada pihak berwenang bahwa tuduhan tersebut tidak benar.;
80;Seorang pasien berusia 32 tahun mengalami persalinan pervaginam secara spontan di BPM. Pasien melahirkan bayi kembar, lahir merintih, ekstremitas kebiruan, berat bayi 2000 gram dan 1500 gram. Bidan akan melakukan tindakan membersikan jalan nafas bayi namun pihak keluarga menolak. Biarpun begitu bidan tersebut tetap membersihkan jalan nafas bayi. Jenis pengambilan keputusan tersebut termasuk ;Teologi;Deontologi;Eudonisme;Utilitarianisme;Hedonisme;2;Dalam pengambilan keputusan tersebut menggunakan etik deontologi. Prinsip deontologi adalah hal - hal benar yang harus dilakukan tanpa mempertimbangkan konsekuensinya. Dalam prinsipnya yang diproritasnya adalah keselamatan pasien. ;
81;Seorang ibu usia 29 tahun akan melahirkan anaknya di rumah sakit setelah dilakukan pengecekan ternyata persentasi bokong. Bidan telah berhasil menolong persalinan bokong sampai pusat dan bersiap untuk menolong kelahiran kepala. Berapa lama batas waktu maksimal bidan untuk menolong kelahiran kepala bayi tersebut;4 menit;5 menit;6 menit;7 menit ;8 menit;5;Fase ini disebut fase cepat yang berlangsung maksimal selama 8 menit yang di tandai dengan lahirnya umbilikus sampai mulut. Pada fase ini tali pusat masih terjepit di bagian pintu atas panggul sehingga harus segera dilahirkan.;
82;Ny. Meri berusia 24 tahun membawa anaknya yang masih berusia 7 hari untuk mendapatkan imunisasi BCG. Cara penyuntikan dan dosis yang tepat yang harus diberikan oleh bidan adalah;IC pada lengan atas dengan dosis 0,05 ml ;IC pada lengan kanan atas dengan dosis 0,5 ml;IC pada lengan kiri atas dengan dosis 0,05 ml;IC pada lengan kiri atas dengan dosis 0,5 ml;IC pada paha kiri bagian atas dengan dosis 0,05 ml;1;;
83;Seorang ibu berumur 22 tahun datang ke BPM dengan diagnosa impartu sisa dukun. Ibu mengatakan masih merasakan kontraksi dengan intensitas sering dan teratur sejak 4 hari yang lalu. Ia sudah dipimpin untuk mengejan oleh dukun 8 jam lalu. Hasil pemeriksaan diketahui kondisi umum lemah dan pasien tampak kelelahan. Tekanan 90/60 mmHg. Nadi 87 kali/ menit suhu tubuh mencapai 39¡C vaginal tooch pembukaan sudah mencapai 8 cm dan kepala turun di hodge III dengan denyut jantung janin 183 kali/ menit. Berdasarkan kasus tersebut diagnosis pasien adalah;Partus kasep;Partus macet;Partus lambat;Partus lama;Partus tidak maju;4;Berdasarkan data keluhan pasien dan data inpartu sisa dukun maka diagnosis pasien tersebut adalah partus lama. Partus lama adalah persalinan yang terjadi lebih dari 8 jam. Penyebab partus lama yakni kelainan kekuatan/ tenaga kelainan janin dan kelainan jalan lahir;
84;Seorang bayi berusia satu bulan datang ke posyandu, dengan keadaan menangis keras. Setelah digendong dan dipeluk ibunya, dia merasa tenang dan berhenti menangis. Matanya menatap lekat wajah ibunya. Kemampuan yang sudah dikuasai bayi tersebut adalahÉ;Bahasa;Naturalisasi;Psikososial;Motorik kasar;Motorik halus;3;Sikap bayi yang tenang dalam diam ketika digendong dan dipeluk oleh ibunya merupakan kemampuan bayi dalam meningkatkan perkembangan psikososialnya. Perkembangan psikososial bayi dimulai pada usia 1-2 bulan. Salah satu cirinya adalah bayi tampak senang dan nyamat saat berdekatan dengan ibu serta orang yang dikenalnya.;
85;Seorang ibu mengeluh bayinya yang berusia tiga bulan belum terampil mengangkat kepala. Bayi hanya melakukan sedikit gerakan ekstensi, namun sudah bisa mengenggam mainan dan mulai mengoceh. Bayi tersebut sedang mengalami keterlambatanÉ;Sosial;Bahasa;Psikologis;Motorik kasar;Motorik halus;4; Berdasarkan kasus di atas, bayi tersebut sedang mengalami keterlambatan perkembangan motorik kasar. Kemampuan motorik kasar adalah kemampuan bayi dalam menggunakan otot-otonya untuk melakukan kegiatan sehari-hari. Misalnya, kemampuan untuk duduk, berdiri,berjalan, bangun, mengangkat kepala, mengangkat benda dan melempar benda.;
86;Seorang ibu berumur 22 tahun datang ke BPM dengan diagnosa impartu sisa dukun. Ibu mengatakan masih merasakan kontraksi dengan intensitas sering dan teratur sejak 4 hari yang lalu. Ia sudah dipimpin untuk mengejan oleh dukun 8 jam lalu. Hasil pemeriksaan diketahui kondisi umum lemah dan pasien tampak kelelahan. Tekanan 90/60 mmHg. Nadi 87 kali/ menit suhu tubuh mencapai 39¡C vaginal tooch pembukaan sudah mencapai 8 cm dan kepala turun di hodge III dengan denyut jantung janin 183 kali/ menit. Berdasarkan kasus tersebut tindakan yang harus dilakukan setelah pasien dirujuk adalah;Versi Etraksi;Vakum Ekstraksi;Induksi persalinan ;Forcep Ekstraksi;Sectio Caesarea;5;Tindakan sectio Caesarea bertujuan membantu ibu melahirkan janinnya dengan cara melakukan insisi pada dinding perut dan dinding rahim salah satu indikasi perlunya tindakan ini adlah kondisi gawat janin yang ditandai dengan djj yang tinggi;
87;Seorang perempuan berusia 27 tahun, status obstetri G4P2A1, hamil aterm datang ke rumah sakit, mengeluh perutnya mulas. Hasil pemeriksaan diketahui TD 180/120 mmHG, protein urine (++), mengalami kejang, serta edema pada wajah dan ekstremitas. Setelah dilakukan pertolongan oleh dokter, bayi tersebut lahir, namun ibu meninggal. penyebab utama kematian pada kasus  tersebut...;Anoksia otak dan gagal napas;Gagal ginjal dan disfungsi hepar;Edema anasarka dan gagal napas;Anoksia seluruh tubuh dan dehidrasi;Edema paru dan decompensatio cordis ;5; Penyebab kematian ibu pada kasus adalah edema paru dan decompensation cordis. Decompensatio cordis adalah suatu keadaan patologis adanya kelainan fungsi jantung yang mengakibatkan jantung gagal memompa darah untuk memenuhi kebutuhanmetabolisme tubuh. kondisi ini terjadi karena riwayat ibu dengan eklampsia.;
88;Seorang pasien perempuan berusia 35 tahun baru saja melahirkan anak ketiganya di puskesmas. Hasil pemeriksaan diketahui berat badan lahir bayi adalah 3.000 gram, panjang badan 50 cm, keadaan umum baik, dan bayi sudah siap untuk dilakukan rawat gabung. periode yang dialami oleh bayi tersebut adalah...;Fase tidur;Transisional;Pasca transisional;Kedua reaktivitas;Pertama reaktivitas;5;Periode yang dialami bayi ketika siap dirawat gabung bersama sang ibu, yaitu periode pertama reaktivitas. Pada fase ini bayi tertidur dan secara klinis detak jantung dan frekuensi pernapasan akan menurun, suhu tubuh rendah, tidak ditemukan lendir mulut, serta menurunnnya aktivitas otot dan tonus.                    ;
89;Seorang pasien perempuan berusia 25 tahun membawa anaknya yang berusia dua tahun ke posyandu. Hasil pemeriksaan diketahui suhu tubuh anaknya 37¡C, nadi 89 kali/menit, pernapasan 23 kali/menit. Tampak kulit terdapat ruam kemerahan disertai gelembung bewarna jernih dan bergerombol, serta tidak ada tanda peradangan. diagnosis yang tepat untuk pasien tersebut adalah...;Furunked;Miliariasis;Miliaria rubra;Miliaria profunda;Miliaria kristalina;3;Dari data menyebutkan tampak ruam kemerahan disertai gelembung berwarna jernih yang bergerombol pada kulit pasien dan tidak ada tanda peradangan maka diagnosis yang tepat pada pasien tersebut adalah miliaria rubra. Miliaria rubra adalah gangguan pada kulit yang disebabkan oleh tersumbatnya bagian dalam epidermis sehingga menimbulkan biang keringat.;
90;Seorang ibu berumur 22 tahun datang ke BPM dengan diagnosa impartu sisa dukun. Ibu mengatakan masih merasakan kontraksi dengan intensitas sering dan teratur sejak 4 hari yang lalu. Ia sudah dipimpin untuk mengejan oleh dukun 8 jam lalu. Hasil pemeriksaan diketahui kondisi umum lemah dan pasien tampak kelelahan. Tekanan 90/60 mmHg. Nadi 87 kali/ menit suhu tubuh mencapai 39¡C vaginal tooch pembukaan sudah mencapai 8 cm dan kepala turun di hodge III dengan denyut jantung janin 183 kali/ menit. Berdasarkan kasus tersebut tindakan yang menjadi prioritas pada pasien adalah;Menyuntikkan vitamin B12;Merujuk dengan infus;Menganjurkan ibu makan dan minum;Memasang infus RL;Memberikan induksi persalinan;2;Tindakan yang seharusnya dilakukan oleh bidan pada pasien partus lama dan kegawat daruratan janin adalah merujuk pasien dengan infus ke rumah sakit yang mampu memfasilitasi persalinan gawat darurat obstertrik dan bayi baru lahir. Jika kasus partus lama tidak dirujuk dengan segera maka akan menimbulkan dampak serius bagi ibu dan janin seperti kematian.;
91;Seorang bayi laki - laki baru saja lahir di BPM dalam kondisi tidak menangis warna kulit kebiruan dan tonus otot lemah. Setelah dilakukan langkah awal resusitasi bayi bernafas, HR 133 kali per menit dan warna kulit akrosianosis. Tindakan bidan selanjutnya yang tepat pada kasus tersebut adalah;Pemberian oksigen dengan sungkup (5 - 10 liter);Asuhan bayi baru lahir normal;Observasi tanda vital;Ventilasi positif 20 kali dalam 30 detik;Merujuk;1;Tindakan yang tepat dilakukan oleh bidan adalah pemberian oksigen  Bayi yang mengalami gangguan ventilasi pada seluruh area paru, gangguan pertukaran gas dan gagal jantung membutuhkan terapi oksigen agar dapat menghindarkan bagi dari hipoksia.;
92;Perempuan berumur 27 tahun datang ke RS mengatakan bahwa ia hamil anak ke -2 dan belum pernah keguguran. Hasil anamnesis diperoleh data bahwa ibu tidak ingat HPHT tetapi ibu mengatakan pergerakan janin pertama sekali dirasakan ibu kemarin. Berdasarkan data tersebut berapakah usia kehamilan perempuan tersebut;15 minggu;16 minggu;17 minggu;18 minggu;19 minggu;2;Berdasarkan riwayat kehamilan pasien dapat disimpulkan bahwa status obstreti perempuan tesebut adalah G2P1A0 pasien baru merasakan pergerakan janin kemarin maka diketahui usia kehamilan perempuan tersebut adalah 16 minggu karena gerakan bayi biasaya baru dapat dirasakan pada usia ke hamilan yang ke 16 sampai dengan 22 minggu. ;
93;Seorang ibu berumur 22 tahun datang ke BPM dengan diagnosa impartu sisa dukun. Ibu mengatakan masih merasakan kontraksi dengan intensitas sering dan teratur sejak 4 hari yang lalu. Ia sudah dipimpin untuk mengejan oleh dukun 8 jam lalu. Hasil pemeriksaan diketahui kondisi umum lemah dan pasien tampak kelelahan. Tekanan 90/60 mmHg. Nadi 87 kali/ menit suhu tubuh mencapai 39¡C vaginal tooch pembukaan sudah mencapai 8 cm dan kepala turun di hodge III dengan denyut jantung janin 183 kali/ menit. Berdasarkan kasus tersebut komplikasi yang mungkin terjadi pada pasien adalah;Sepsis ;Febris ;Fetal distress;Infeksi intrapartum;Ruptur uteri;4;;
94;Bidan pembina wilayah desa menemukan sebagian besar remaja perempuan mengalami kurang gizi dan anemia. Berdasarkan data yang diperoleh terdapat larangan mengonsumsi makanan tertentu pada desa tersebut. Konseling yang tepat diberikan pada warga desa tersebut adalah...;Ketidakadilan gender;Perlunya pemberian gizi seimbang pada remaja;Gizi seimbang sepanjang kehidupan perempuan;Pelarangan makan makanan tertentu bagi remaja putri;Pantangan makan makanan tertentu selama hamil dan pasca bersalin;2;Menurut data yang ditemukan bidan pembina wilayah desa, sebagian besar remaja perempuan mengalami gizi kurang dan anemia. Oleh karena itu, konseling yang tepat untuk kasus tersebut adalah konseling tentang perlunya pemberian gizi seimbang pada remaja perempuan.;
95;Pada saat produksi ASI hormon yang berpengaruh adalah;Human placental Lactogen;Estrogen;Prolaktin;Oksitosin;Progesteron;3;Kelenjar pituitari dalam otak menghasilkan hormon prolaktin yang dapat merangsang produksi ASI. Kadar hormon prolaktin akan semakin banyak apabila sinus laktiferus atau gudang ASI kosong jadi semakin sering ibu menyusui maka ASI yang diproduksi akan semakin banyak.;
96;Seorang perempuan berusia 18 tahun, datang ke RS dengan keluhan terdapat benjolan-benjolan kecil pada alat kelaminnya. Hasil pemeriksaan tampak kutil bergerombol pada genetalia eksterna. Pendidikan kesehatan yang tepat untuk diberikan pada pasien tersebut adalah...;Akibat seks pranikah;Personal hygiene;Perilaku seksual yang aman;Perawatan genetalia dengan spa;Penggunaan kondom pada seks berisiko;2;Pendidikan kesehatan yang dapat diberikan oleh bidan kepada pasien tersebut adalah tentang personal hygiene. Keluhan yang dialami pasien disebabkan oleh pasien yang tidak menjaga kebersihannya, terutama kebersihan organ genitalnya. Selain itu, pasien juga perlu diberitahu bahwa kebersihan organ genital sangat memengaruhi kesehatan reproduksinya.;
97;Seorang kader berusia 30 tahun mendatangi bidan mengatakan balita berusia enam tahun menderita gizi buruk. Setelah dilakukan kunjungan rumah keluarga tersebut termasuk pada keluarga dengan tingkat ekonomi menengah kebawah Upaya bidan  untuk mencegah kasus tersebut berulang kembali adalah ;Melatih para kader posyandu untuk membuat menu sehat bergizi;Memberikan dana tambahan untuk masyarakat;Membuat rencana penyuluhan gizi di setiap posyandu;Memberikan makanan bergizi pada setiap keluarga;Membuat leaflet pola makan bergizi;1;Setiap bidan desa melakukan pembinaan terhadap para kader posyandu yang berada pada tingkat RW sehingga mereka dapat mengamati perkembangan kesehatan balita di lingkungannya. Selain itu juga kader diberikan pengetahuan mengenai cara membuat menu makanan yang begizi namun dapat dijangkau oleh semua masyarakat dan sebaiknya kegiatan tersebut diadakan dua kali sekali.;
98;Seorang perempuan berusia 55 tahun, datang ke BPM mengatakan sering merasa panas di daerah dada dan wajah, sakit kepala, serta jantung berdebat. Hasil pemeriksaan diketahui TD 110/70 mmHg dan nadi 90 kali/menit. Jenis keluhan yang dirasakan pasien tersebut adalah...;Psikologis;Demensia;Neurovegetatif;Perubahan kulit;Penyakit jantung koroner;3;Jenis keluhan yang dirasakan pasien tersebut adalah jenis keluhan neurovegetatif atau vasomotorik-hipersimpatikotonik. Gejalanya mencakup panas di daerah dada dan wajah, sakit kepala, serta jantung berdebar.;
99;Seorang perempuan berusia 58 tahun, datang ke BPM dengan keluhan muncul perasaan panas yang tiba-tiba disertai keringan yang banyak meskipun berada dalam ruangan ber-AC. Berdasarkan keluhan tersebut, hormon yang sedang mengalami penurunan adalahÉ;Estrogen;Adrenalin;Androgen;Progestorone;Gonadotropin;1;Keluhan yang muncul dengan rasa yang panas tiba-tiba meskipun berada di ruangan ber-AC merupakan penyebab penurunan kadar hormon estrogen. Penurunan kadar hormon estrogen yang drastis akan terjadi pada masa menopause.;
100;Seorang ibu berumur 22 tahun datang ke BPM dengan diagnosa impartu sisa dukun. Ibu mengatakan masih merasakan kontraksi dengan intensitas sering dan teratur sejak 4 hari yang lalu. Ia sudah dipimpin untuk mengejan oleh dukun 8 jam lalu. Hasil pemeriksaan diketahui kondisi umum lemah dan pasien tampak kelelahan. Tekanan 90/60 mmHg. Nadi 87 kali/ menit suhu tubuh mencapai 39¡C vaginal tooch pembukaan sudah mencapai 8 cm dan kepala turun di hodge III dengan denyut jantung janin 183 kali/ menit. Berdasarkan denyut jantung janin maka diketahui janin mengalami;Infeksi genital;Fetal distress;Sepsis intrapartum;Infeksi intra-uterine;Infeksi ekstra- uterine;2;Denyut jantung janin yang mencapai 183 kali/menit menandakan reaksi janin saat ia tidak mendapatkan oksigen yang cukup. Pada umumnya gawat janin ditandai dengan frekuensi jantung kurang dari 100 kali/ menit atau lebih dari 180 kali/menit gerakan janin tidak seperti biasanya dan air ketuban yang tercampur dengan mekonium berwarna kehijauan;
101;Hal - hal yang dapat mencegah terjadi sibling rivalry adalah;Melarang anak yang lebih tua untuk memegang atau mencium adiknya;Menjauhkan anak yang lebih tua dari adiknya;Menitipkan anak yang lebih tua ke rumah neneknya;Mengacuhkan anak yang lebih tua;Melibatkan anak dengan tugas - tugas ringan dalam perawatan bayi;5;Sibling rivalry adalah persaingan atau kompetisi yang terjadi antar saudara kandung;
102;Suatu keadaan dimana terjadi penumpukan urine dalam kandung kemih yang disebabkan oleh tidak mampunya kandung kemih untuk mengosongkan bladder adalah pengertian dari;Inkonteninsia urine lansia;Perubahan pola eliminasi urine;Urinari supresi;Retensia urine;Enuresis;4;;
103;Ny. Eni berusia 28 tahun membawa bayinya ke Puskesmas dengan keluhan demam tinggi mencapai 39¡C, bayi lemas dan kemerahan pada tempat penyuntikan 24 jam setelah pemberian vaksin. Kasus yang dialami bayi Ny. Eni merupakan efek samping dari pemberian imunisasi;DPT dan hepatitis B;Campak dan DPT;BCG dan Hepatitis B;Polio dan BCG;DPT dan Polio;2;Kebanyakan bayi  atau anak setelah diberikan imunisasi baik campak akan mengalami demam setelah penyuntikan namun akan sembuh setelah 1 sampai 2 hari sebagian anak merasa nyeri dan lemas serta ada kemerahan atau bengkak, bercak merah di daerah penyuntikan;
104;Data yang diolah oleh Bidan Rita dapat disampaikan kepada masyarakat Desa X dalam pertemuanÉ..;Rembuk desa;Musyawarah masyarakat desa;Musyawarah masyarakat mufakat;Melakukan monitoring desa;Melakukan supervise desa;2;Setelah Bidan Rita mendapatkan data-data bahwa terjadi kesenjangan kesehatan di Desa X tersebut maka perlu diadakan pertemuan perwakilan desa yang disebut musyawarah masyarakat desa. Pertemuan ini membahas tentang hasil survey mawas diri dan merencanakan penanggulangan masalah kesehatan yang terjadi. Peserta yang harus hadir dalam pertemuan ini, antara lain tokoh masyarakat desa, petugas puskesmas (termasuk Bidan Rita), serta sektor terkait di tingkat desa dan kecamatan (seksi-seksi pemerintah, pembangunan, pertanian, agama, dan lain-lain). Masyarakat diajarkan untuk mengenal kesehatan di wilayahnya sehingga masyarakat sepakat untuk menanggulangi masalah kesehatan melalui pembentukan desa siaga. Selain itu, diharapkan masyarakat mampu menyusun kerangka rencana kerja untuk pelaksanaan desa siaga dan poskesdes (pos kesehatan desa).;
105;Penyebab kematian ibu di Desa X kemungkinan disebabkan olehÉ.;Pendidikan yang rendah;Pengetahuan yang minim;Tiga keterlambatan;Empat keterlambatan;Belum adanya suami siaga;4;Masalah angka kematian ibu di Desa X disebabkan oleh masyarakat yang masih terbiasa dengan pelayanan kesehatan yang sekadarnya sehingga mengabaikan risiko dalam kehamilan dan persalinan. Melihat kasus diatas makan diketahui masyarkat desa termasuk dalam bahaya empat keterlambatan, yakni masyarakat terlambat mengenali tanda bahaya kehamilan (termasuk kesehatan ibu dan janin tahap awal-ketika masih adanya tradisi pantang mengonsumsi makanan tertentu bagi ibu hamil), keluarga pasien terlambat mengambil keputusan dalam memilih pelayanan kesehatan untuk perawatan kehamilan, keterlambatan untuk mencapai fasilitas kesehatan, dan keterlambatan mendapatkan pertolongan di fasilitas kesehatan karena masyarakat hanya memanfaatkan tenaga dukun yang belum berkoodinasi dengan pihak tenaga kesehatan. Oleh karena itu, masalah ini harus dianggap serius agar mampu mengurangi angka kematian ibu dan bayi.;
106;Jika bidan Rita ingin melakukan kunjungan pada masyarakat desa maka kunjungan yang dilakukan termasuk dalamÉÉÉ;Pelayanan kunjungan rumah;Penyuluh kepada masyarakat ;Pembentukan desa siaga;Pembentukan GSI (Gerakan Sayang Ibu);Pembinaan kader;4;"GSI (Gerakan Sayang Ibu) dibentuk oleh masyarakat yang bekerja sama dengan petugas kesehatan dan pemerintah untuk meningkatkan kualitas hidup melalui penurunan angka kematian ibu dan bayi. Secara spesifik, terhadap tujuan khusus dari GSI di Desa X dalam konteks sebagai berikut:
¥ Meningkatkan pengembangan dana ibu hamil di Desa X oleh PKK dan Lembaga Kesehatan Masyarakat Desa (LKMD)
¥ Meningkatkan pengetahuan dan kepedulian pejabat pemerintah Desa X dan sektor terkait tentang berbagai faktor yang menyebabkan kematian ibu serta peningkatan upaya penanggulangannya secara integrative.
¥ Menyiapkan desa siaga dalam melakukan mekanisme rujukan sehingga keterlambatan pertolongan dapat dihindari.
¥ Meningkatkan upaya masyarakat Desa X dalam pendapatan ibu hamil dan mengubah budaya yang dapat membahayakan kesehatan ibu hamil.
¥ Meningkatkan peran institusi petugas kesehatan Desa X dalam pendataan ibu hamil dan mengubah budaya yang dapat membahayakan kesehatan ibu hamil.
¥ Meningkatkan peran institusi petugas kesehatan Desa X dalam upaya pendataan ibu hamil dan pelayanan kesehatan yang komprehensif.
";
107;Ny. Tina adalah seorang ibu rumah tangga yang berusia 29 tahun, status obstetric G3P2AO, usia kehamilan 5 bulan, dan mengalami anemia ringan. Semua persalinan yang lalu ditangani oleh dukun. Selama ini, ibu belum pernah menggunakan alat kontrasepsi. Anak pertama tercatat sebagai balita BGM. Anak-anaknya sering hanya diberi makanan berupa nasi dan kecap. Sementara itu, anak kedua baru berusia 11 bulan dan belum pernah diimunisasi, namun ibu masih memberikan ASI. Di rumah pasien terdapat banyak sampah, kecoa, dan tikus. Selain itu, pekerjaan suami Ny. Tina sekarang ini adalah seorang buruh tani.Penyuluh yang tepat bagi Ny. Tina adalah;Penyuluh tentang gizi seimbang untuk keluarga;Penyuluh tentang istirahat bagi ibu hamil;Pentingnya pemeriksaan ibu hamil;KEI tentang tanda bahaya dalam masa kehamilan;Penyuluh tentang perawatan balita di rumah;1;"Penyuluh tentang gizi seimbang untuk keluarga sangat diperlukan agar ibu bisa mengetahui dan memahami tentang penyediaan makan yang bergizi bagi balita dan anggota keluarga yang lain. Gizi yang baik digunakan sebagai unsur pendukung terbentuknya manusia yang berkualitas. Oleh karena itu, perlu sedini mungkin untuk memperhatikan pemenuhan gizi anak, bahkan sejak anak masih dalam kandungan. Media penyuluhan yang didapat digunakan adalah lembar balik perpaduan gambar (visual) dan tulisan. Hasil evaluasi yang diharapkan dari ibu tersebut dijabarkan sebagai berikut:
¥ Ibu termotivasi untuk menerapkan pola hidup sehat diri dan tetap menjaga kesehatan diri dan keluarga
¥ Ibu mampu memahami cara menjaga kesehatan diri dan keluarga
¥ Ibu memahami keuntungan yang didapatkan apabila ia dan keluarganya sehat.
¥ Membantu pertumbuhan serta perkembangan anak dan keluarga menjadi lebih baik.
";
